natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
The drug desired to be prescribed is checked against the patient's drug allergies.,"Patient(P), Prescriber(D).",Drug(DR).,"has_allergy(P, DR) :- Patient(P), Drug(DR).","can_prescribe(D, P, DR) :- Prescriber(D), Patient(P), Drug(DR), not has_allergy(P, DR)."
The user's associated filter initially has all empty inputs for the filtering criteria before the user modifies it.,User(U).,"Filter(F), Criteria(C).","has_filter(U, F) :- User(U), Filter(F). has_criteria(F, C) :- Filter(F), Criteria(C). is_empty(F, C) :- Filter(F), Criteria(C).","can_modify(U, F, C) :- User(U), Filter(F), Criteria(C), has_filter(U, F), has_criteria(F, C), is_empty(F, C)."
"The HCP selects a procedure code, a priority from 1 to 3 (1=most important, 3=not as important), and Lab Technician (listed with his or her specialty and the number of pending lab procedures in his or her priority queue, grouped by priority).","HCP(H), LabTechnician(L).","ProcedureCode(PC), Priority(P).","has_specialty(L, S) :- LabTechnician(L), Specialty(S).
pending_procedures(L, P, Count) :- LabTechnician(L), Priority(P), Count >= 0.
selected(H, PC, P, L) :- HCP(H), ProcedureCode(PC), Priority(P), LabTechnician(L).","can_select(H, PC, P, L) :- HCP(H), ProcedureCode(PC), Priority(P), LabTechnician(L), has_specialty(L, S), pending_procedures(L, P, Count)."
"If the confirmation screen does not show the name of the intended patient, the HCP is then prompted to input the correct patient identification information again.",HCP(H).,"Patient(P), ConfirmationScreen(S).","intended_patient(H, P) :- HCP(H), Patient(P).
shows_patient_name(S, P) :- ConfirmationScreen(S), Patient(P).","prompt_to_input_patient_info(H, P) :- HCP(H), Patient(P), intended_patient(H, P), not shows_patient_name(S, P)."
"The HCP confirms the reassignment, or cancels the reassignment .",HCP(H).,Reassignment(R).,"is_assigned_to(H, R) :- HCP(H), Reassignment(R).","can_confirm(H, R) :- HCP(H), Reassignment(R), is_assigned_to(H, R). can_cancel(H, R) :- HCP(H), Reassignment(R), is_assigned_to(H, R)."
The user can select an office visit from the calendar to read the visit's details .,User(U).,OfficeVisit(OV).,"has_access_to(U, OV) :- User(U), OfficeVisit(OV).","can_read(U, OV) :- User(U), OfficeVisit(OV), has_access_to(U, OV)."
The patient is sent a fake email that the HCP has prescribed a medication that he or she is allergic to or that has a known interaction with a drug he or she is taking.,"Patient(P), HCP(H).","Medication(M), Drug(D).","has_allergy(P, M) :- Patient(P), Medication(M).
has_interaction(M, D) :- Medication(M), Drug(D).
is_taking(P, D) :- Patient(P), Drug(D).","can_send_fake_email(H, P, M) :- HCP(H), Patient(P), Medication(M), (has_allergy(P, M) ; (is_taking(P, D), has_interaction(M, D)))."
The public health agent may also choose to remove an adverse event report (such as based upon communication with the reporter or because the report appears to be bogus) .,PublicHealthAgent(A).,AdverseEventReport(R).,"reported_by(R, A) :- AdverseEventReport(R), PublicHealthAgent(A).","can_remove(A, R) :- PublicHealthAgent(A), AdverseEventReport(R), (reported_by(R, A) or appears_bogus(R))."
"When an LHCP views a list of his or her upcoming appointments, they are presented with an option to edit or remove the appointment.",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A). can_edit_appointment(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A). can_remove_appointment(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A)."
A LHCP creates an  UAP.,LHCP(L).,UAP(U).,"creates(L, U) :- LHCP(L), UAP(U).","can_create(L, U) :- LHCP(L), UAP(U), creates(L, U)."
An HCP can add commentary to a pending lab procedure .,HCP(H).,LabProcedure(L).,pending(L) :- LabProcedure(L).,"can_add_commentary(H, L) :- HCP(H), LabProcedure(L), pending(L)."
The administrator will maintain a listing of allowable diagnoses that an LHCP can use.,"Administrator(A), LHCP(L).",Diagnosis(D).,"maintains_listing(A, D) :- Administrator(A), Diagnosis(D).","can_use(L, D) :- LHCP(L), Diagnosis(D), maintains_listing(A, D)."
The patient has authenticated himself or herself in the iTrust Medical Records system(UC3).,Patient(P).,System(S).,"authenticated(P, S) :- Patient(P), System(S).","can_access(P, S) :- Patient(P), System(S), authenticated(P, S)."
The LHCP does not confirm the selection and can try again.,LHCP(L).,Selection(S).,"can_try_again(L, S) :- LHCP(L), Selection(S), not confirms(L, S).","confirms(L, S) :- LHCP(L), Selection(S)."
The message will display the risk factors that the patients exhibit.,Patient(P).,RiskFactor(RF).,"exhibits(P, RF) :- Patient(P), RiskFactor(RF).","can_display_message(P, RF) :- Patient(P), RiskFactor(RF), exhibits(P, RF)."
