natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
"Employees ranked as professors or tenured assistant professors can select from, insert into, and delete from graduate admission related tables in the database.",Employee(E).,GraduateAdmissionTable(T).,is_professor(E) :- Employee(E). is_tenured_assistant_professor(E) :- Employee(E).,"can_select(E, T) :- Employee(E), GraduateAdmissionTable(T), (is_professor(E); is_tenured_assistant_professor(E)). can_insert(E, T) :- Employee(E), GraduateAdmissionTable(T), (is_professor(E); is_tenured_assistant_professor(E)). can_delete(E, T) :- Employee(E), GraduateAdmissionTable(T), (is_professor(E); is_tenured_assistant_professor(E))."
"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and date of birth to help confirm identity.","CustomerServiceRep(CSR), Pharmacist(PH), BillingRep(BR).","Customer(C), Name(N), DateOfBirth(DOB).","has_name(C, N) :- Customer(C), Name(N). has_dob(C, DOB) :- Customer(C), DateOfBirth(DOB).","can_collect_and_use(CSR, C, N, DOB) :- CustomerServiceRep(CSR), Customer(C), has_name(C, N), has_dob(C, DOB). can_collect_and_use(PH, C, N, DOB) :- Pharmacist(PH), Customer(C), has_name(C, N), has_dob(C, DOB). can_collect_and_use(BR, C, N, DOB) :- BillingRep(BR), Customer(C), has_name(C, N), has_dob(C, DOB)."
Customer service reps can use credit card number for the purpose of updating records if requested by a patient.,"CustomerServiceRep(R), Patient(P).","CreditCardNumber(CCN), Record(REC).","has_requested(P, REC) :- Patient(P), Record(REC).","can_use(R, CCN, REC) :- CustomerServiceRep(R), CreditCardNumber(CCN), Record(REC), Patient(P), has_requested(P, REC)."
"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and e-mail addresses.","CustomerServiceRep(CSR), Pharmacist(PH), BillingRep(BR).","Customer(C), Name(N), Email(E).","has_name(C, N) :- Customer(C), Name(N). has_email(C, E) :- Customer(C), Email(E).","can_collect_and_use(CSR, C, N, E) :- CustomerServiceRep(CSR), Customer(C), Name(N), Email(E), has_name(C, N), has_email(C, E). can_collect_and_use(PH, C, N, E) :- Pharmacist(PH), Customer(C), Name(N), Email(E), has_name(C, N), has_email(C, E). can_collect_and_use(BR, C, N, E) :- BillingRep(BR), Customer(C), Name(N), Email(E), has_name(C, N), has_email(C, E)."
Shipping Reps can use customer name and customer mailing addresses to ship orders.,ShippingRep(SR).,"Customer(C), Order(O).","has_name(C, Name) :- Customer(C). has_address(C, Address) :- Customer(C).","can_ship(SR, O) :- ShippingRep(SR), Order(O), Customer(C), has_name(C, Name), has_address(C, Address)."
Billing Reps can use credit card numbers for order processing.,BillingRep(B).,"CreditCardNumber(CC), Order(O).","has_access_to(B, CC) :- BillingRep(B), CreditCardNumber(CC).","can_use_for_order_processing(B, CC, O) :- BillingRep(B), CreditCardNumber(CC), Order(O), has_access_to(B, CC)."
"Customer Service Reps can modify credit card numbers for order processing, if the customer is notified by email of the change.","CustomerServiceRep(R), Customer(C).","CreditCard(CC), Order(O).","has_order(C, O) :- Customer(C), Order(O).
has_credit_card(O, CC) :- Order(O), CreditCard(CC).
notified_by_email(C, CC) :- Customer(C), CreditCard(CC).","can_modify(R, O, CC) :- CustomerServiceRep(R), Order(O), CreditCard(CC), has_order(C, O), has_credit_card(O, CC), notified_by_email(C, CC)."
"Customer service reps, ducks or Lawyers can use credit card number for the purpose of making treatment decisions if customer has opted-in.","CustomerServiceRep(CSR), Duck(D), Lawyer(L).","CreditCardNumber(CCN), TreatmentDecision(TD).","has_opted_in(C, CCN) :- Customer(C), CreditCardNumber(CCN).","can_use_for_treatment(CSR, C, CCN, TD) :- CustomerServiceRep(CSR), Customer(C), CreditCardNumber(CCN), TreatmentDecision(TD), has_opted_in(C, CCN).
can_use_for_treatment(D, C, CCN, TD) :- Duck(D), Customer(C), CreditCardNumber(CCN), TreatmentDecision(TD), has_opted_in(C, CCN).
can_use_for_treatment(L, C, CCN, TD) :- Lawyer(L), Customer(C), CreditCardNumber(CCN), TreatmentDecision(TD), has_opted_in(C, CCN)."
Admission nurses use SSN for reviewing eligibility if requested by a patient who is returning.,"AdmissionNurse(N), Patient(P).",SSN(S).,is_returning(P) :- Patient(P).,"can_review_eligibility(N, P, S) :- AdmissionNurse(N), Patient(P), SSN(S), is_returning(P)."
Customer service reps and managers may collect and use name and social security number for the purpose of confirming identity.,"CustomerServiceRep(R), Manager(M).","Name(N), SocialSecurityNumber(SSN).","has_name(P, N) :- Person(P), Name(N). has_ssn(P, SSN) :- Person(P), SocialSecurityNumber(SSN).","can_collect_and_use(R, P, N, SSN) :- CustomerServiceRep(R), Person(P), Name(N), SocialSecurityNumber(SSN), has_name(P, N), has_ssn(P, SSN). can_collect_and_use(M, P, N, SSN) :- Manager(M), Person(P), Name(N), SocialSecurityNumber(SSN), has_name(P, N), has_ssn(P, SSN)."
The organisation may use email addresses to answer inquiries.,Organisation(O).,"EmailAddress(E), Inquiry(I).","has_inquiry(O, I) :- Organisation(O), Inquiry(I).","can_use_email(O, E, I) :- Organisation(O), EmailAddress(E), Inquiry(I), has_inquiry(O, I)."
Supervisors can collect personal information if required by law.,Supervisor(S).,PersonalInfo(PI).,required_by_law(PI) :- PersonalInfo(PI).,"can_collect(S, PI) :- Supervisor(S), PersonalInfo(PI), required_by_law(PI)."
