natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
"""For each patient from the monitoring list, the LHCP can edit blood pressure, glucose levels, height, weight and pedometer readings.""","LHCP(L), Patient(P).","BloodPressure(BP), GlucoseLevel(GL), Height(H), Weight(W), PedometerReading(PR).",on_monitoring_list(P) :- Patient(P).,"can_edit(L, P, BP) :- LHCP(L), Patient(P), BloodPressure(BP), on_monitoring_list(P).
can_edit(L, P, GL) :- LHCP(L), Patient(P), GlucoseLevel(GL), on_monitoring_list(P).
can_edit(L, P, H) :- LHCP(L), Patient(P), Height(H), on_monitoring_list(P).
can_edit(L, P, W) :- LHCP(L), Patient(P), Weight(W), on_monitoring_list(P).
can_edit(L, P, PR) :- LHCP(L), Patient(P), PedometerReading(PR), on_monitoring_list(P)."
The LHCP is able to view the comprehensive patient report.,LHCP(L).,PatientReport(PR).,"has_access(L, PR) :- LHCP(L), PatientReport(PR).","can_view(L, PR) :- LHCP(L), PatientReport(PR), has_access(L, PR)."
"""The reports are viewed under the """"View My Records"""" tab.""",User(U).,"Report(R), Tab(T).","has_access_to(U, R) :- User(U), Report(R). is_in_tab(R, T) :- Report(R), Tab(T).","can_view(U, R, T) :- User(U), Report(R), Tab(T), has_access_to(U, R), is_in_tab(R, T)."
"""The input data, a timestamp and the fact are saved.""",User(U).,"Data(D), Timestamp(T), Fact(F).","saved(U, D, T, F) :- User(U), Data(D), Timestamp(T), Fact(F).","can_save(U, D, T, F) :- User(U), Data(D), Timestamp(T), Fact(F)."
"""An LHCP views the height, weight and pedometer data monitoring details.""",LHCP(L).,"Patient(P), HealthData(H).","has_data(P, H) :- Patient(P), HealthData(H).","can_view(L, P, H) :- LHCP(L), Patient(P), HealthData(H), has_data(P, H)."
"""System presents a list of the patient's expired prescriptions, sorted by start date (the later date is ranked earlier closer to the top).""","System(S), Patient(P).",Prescription(PR).,"has_prescription(P, PR) :- Patient(P), Prescription(PR). expired(PR) :- Prescription(PR). start_date(PR, Date) :- Prescription(PR).","can_present_list(S, P, PR) :- System(S), Patient(P), Prescription(PR), has_prescription(P, PR), expired(PR). sort_by_start_date_desc(PR) :- Prescription(PR), start_date(PR, Date)."
"""The appointments in the list shall be ordered by appointment date and time, the soonest upcoming first.""",User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).
appointment_datetime(A, DT) :- Appointment(A).","ordered_appointments(U, A1, A2) :- User(U), Appointment(A1), Appointment(A2), has_appointment(U, A1), has_appointment(U, A2), appointment_datetime(A1, DT1), appointment_datetime(A2, DT2), DT1 < DT2."
An LHCP views a list of his upcoming appointments.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A)."
An administrator maintains the hospital listing.,Administrator(A).,HospitalListing(L).,"maintains(A, L) :- Administrator(A), HospitalListing(L).","can_maintain(A, L) :- Administrator(A), HospitalListing(L), maintains(A, L)."
System displays his appointments on the calendar.,"User(U), System(S).","Appointment(A), Calendar(C).","has_appointment(U, A) :- User(U), Appointment(A).","can_display(S, U, A, C) :- System(S), User(U), Appointment(A), Calendar(C), has_appointment(U, A)."
The HCP selects reasons out from the nine reasons listed here for the overriding.,HCP(H).,Reason(R).,has_reason_list(R) :- Reason(R).,"can_select_reason(H, R) :- HCP(H), Reason(R), has_reason_list(R)."
"""A patient, personal health representative or HCP views laboratory procedure status.""","Patient(P), PersonalHealthRepresentative(R), HealthcareProfessional(H).",LaboratoryProcedure(L).,"has_procedure_status(L, S) :- LaboratoryProcedure(L), Status(S).","can_view(P, L) :- Patient(P), LaboratoryProcedure(L), has_procedure_status(L, S). can_view(R, L) :- PersonalHealthRepresentative(R), LaboratoryProcedure(L), has_procedure_status(L, S). can_view(H, L) :- HealthcareProfessional(H), LaboratoryProcedure(L), has_procedure_status(L, S)."
The HCP can add the prescription to the list of medications.,HCP(H).,"Prescription(PR), MedicationList(ML).","has_access_to(H, ML) :- HCP(H), MedicationList(ML).","can_add_prescription(H, PR, ML) :- HCP(H), Prescription(PR), MedicationList(ML), has_access_to(H, ML)."
The administrator is allowed to add a new entry for a reason.,Administrator(A).,"Entry(E), Reason(R).","has_reason(E, R) :- Entry(E), Reason(R).","can_add(A, E, R) :- Administrator(A), Entry(E), Reason(R), not has_reason(E, R)."
The HCP can edit the patient according to data format.,HCP(H).,"Patient(P), DataFormat(F).","has_access(H, P, F) :- HCP(H), Patient(P), DataFormat(F).","can_edit(H, P, F) :- HCP(H), Patient(P), DataFormat(F), has_access(H, P, F)."
The drug is checked against the patient's drug allergies.,"Patient(P), Prescriber(D).",Drug(DR).,"has_allergy(P, DR) :- Patient(P), Drug(DR).","can_prescribe(D, P, DR) :- Prescriber(D), Patient(P), Drug(DR), not has_allergy(P, DR)."
The user can select a laboratory procedure from the calendar to read the laboratory procedure's details.,User(U).,"LaboratoryProcedure(LP), Calendar(C).","scheduled_on(LP, C) :- LaboratoryProcedure(LP), Calendar(C).","can_read_details(U, LP) :- User(U), LaboratoryProcedure(LP), scheduled_on(LP, C)."
The LHCP obtains a printable report.,LHCP(L).,Report(R).,"can_access(L, R) :- LHCP(L), Report(R), printable(R).","obtain_report(L, R) :- LHCP(L), Report(R), can_access(L, R)."
An LHCP refers a patient to another receiving LHCP.,"LHCP(L1), LHCP(L2).",Patient(P).,"refers(L1, P, L2) :- LHCP(L1), Patient(P), LHCP(L2).","can_refer(L1, P, L2) :- LHCP(L1), Patient(P), LHCP(L2), L1 != L2."
