natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,carminati
"To support reviewers with making choices, CyberChair provides them with several webpages containing overviews of  the submitted abstracts.",Reviewer(R).,"Webpage(W), Abstract(A).","has_access(R, W) :- Reviewer(R), Webpage(W).","can_view(R, W, A) :- Reviewer(R), Webpage(W), Abstract(A), has_access(R, W).","Reviewer(?R) ∧ Webpage(?W) ∧ Abstract(?A) ∧ has_access(?R,?W) => can_view(?R,?W,?A)"
CyberChair generates a paper distribution proposal for the PCC.,CyberChair(C).,"Paper(P), PCC(PC).","generates_proposal(C, P, PC) :- CyberChair(C), Paper(P), PCC(PC).","can_generate(C, P, PC) :- CyberChair(C), Paper(P), PCC(PC), generates_proposal(C, P, PC).","CyberChair(?C) ∧ Paper(?P) ∧ PCC(?PC) ∧ generates_proposal(?C,?P,?PC) => can_generate(?C,?P,?PC)"
"As soon as the full paper deadline has passed, the papers can be assigned to the reviewers.","Reviewer(R), Paper(P).",Deadline(D).,deadline_passed(D) :- Deadline(D).,"can_assign(P, R) :- Paper(P), Reviewer(R), deadline_passed(D).","Paper(?P) ∧ Reviewer(?R) ∧ deadline_passed(?D) => can_assign(?P,?R)"
"In step 2, the full paper must be submitted by uploading it.",Author(A).,Paper(P).,"has_author(P, A) :- Paper(P), Author(A).","can_submit(A, P) :- Author(A), Paper(P), has_author(P, A).","Author(?A) ∧ Paper(?P) ∧ has_author(?P,?A) => can_submit(?A,?P)"
"Although CyberChair is not something to sit in (please refer to www.cyberchair.com if you are looking for that), when you are a program chair, you can sit back, relax and watch the progress of the submission and review process.",ProgramChair(PC).,"Submission(S), Review(R).","has_progress(PC, S, R) :- ProgramChair(PC), Submission(S), Review(R).","can_watch_progress(PC, S, R) :- ProgramChair(PC), Submission(S), Review(R), has_progress(PC, S, R).","ProgramChair(?PC) ∧ Submission(?S) ∧ Review(?R) ∧ has_progress(?PC,?S,?R) => can_watch_progress(?PC,?S,?R)"
"For this process to work smoothly, the abstracts should be submitted at least one week  before the full paper is submitted.",Author(A).,"Abstract(AB), Paper(P).","submitted_abstract(A, AB, TimeAB) :- Author(A), Abstract(AB). submitted_paper(A, P, TimeP) :- Author(A), Paper(P).","can_submit_paper(A, P) :- Author(A), Paper(P), submitted_abstract(A, AB, TimeAB), submitted_paper(A, P, TimeP), TimeAB <= TimeP - 7 days.","Author(?A) ∧ Paper(?P) ∧ submitted_abstract(?A,?AB,?TimeAB) ∧ submitted_paper(?A,?P,?TimeP) ∧ ?TimeAB <= ?TimeP - 7 days => can_submit_paper(?A,?P)"
"Usually, people are allowed to send their submission by email.",Person(P).,"Submission(S), Email(E).","has_submission(P, S) :- Person(P), Submission(S).","can_send(P, S, E) :- Person(P), Submission(S), Email(E), has_submission(P, S).","Person(?P) ∧ Submission(?S) ∧ Email(?E) ∧ has_submission(?P,?S) => can_send(?P,?S,?E)"
"Reviewers can indicate whether they are an expert on the topic (X), no expert, but knowledgable in the subject area (Y), or an informed outsider (Z).",Reviewer(R).,Topic(T).,"is_expert_on(R, T) :- Reviewer(R), Topic(T).
knowledgable_in(R, T) :- Reviewer(R), Topic(T).
informed_outsider_on(R, T) :- Reviewer(R), Topic(T).","can_indicate(R, T, X) :- Reviewer(R), Topic(T), is_expert_on(R, T).
can_indicate(R, T, Y) :- Reviewer(R), Topic(T), knowledgable_in(R, T).
can_indicate(R, T, Z) :- Reviewer(R), Topic(T), informed_outsider_on(R, T).","Reviewer(?R) ∧ Topic(?T) ∧ is_expert_on(?R,?T). can_indicate(R,?T,?Y) => can_indicate(?R,?T,?X)"
Downloading of papers by the reviewers can start as soon as papers are submitted.,Reviewer(R).,Paper(P).,submitted(P) :- Paper(P).,"can_download(R, P) :- Reviewer(R), Paper(P), submitted(P).","Reviewer(?R) ∧ Paper(?P) ∧ submitted(?P) => can_download(?R,?P)"
"The current implementation collects the preferences (bids), expertise levels and willingness to review papers on certain topics and the conflicts of interest of the reviewers.",Reviewer(R).,"Paper(P), Topic(T).","has_preference(R, P) :- Reviewer(R), Paper(P).
has_expertise(R, T) :- Reviewer(R), Topic(T).
willing_to_review(R, T) :- Reviewer(R), Topic(T).
has_conflict(R, P) :- Reviewer(R), Paper(P).","collects_data(R, P, T) :- Reviewer(R), Paper(P), Topic(T), has_preference(R, P), has_expertise(R, T), willing_to_review(R, T), not has_conflict(R, P).","Reviewer(?R) ∧ Paper(?P) ∧ Topic(?T) ∧ has_preference(?R,?P) ∧ has_expertise(?R,?T) ∧ willing_to_review(?R,?T) ∧ not has_conflict(?R,?P) => collects_data(?R,?P,?T)"
