natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,carminati
"""The system retrieves and displays the Student’s current schedule (e.g., the schedule for the current semester).""","Student(S), System(Sys).",Schedule(SC).,"has_current_schedule(S, SC) :- Student(S), Schedule(SC).","can_retrieve_and_display(Sys, S, SC) :- System(Sys), Student(S), Schedule(SC), has_current_schedule(S, SC).","System(?Sys) ∧ Student(?S) ∧ Schedule(?SC) ∧ has_current_schedule(?S,?SC) => can_retrieve_and_display(?Sys,?S,?SC)"
The system cancels the course offering for each schedule that contains it.,System(S).,"CourseOffering(CO), Schedule(SCH).","contains(SCH, CO) :- Schedule(SCH), CourseOffering(CO).","can_cancel(S, SCH, CO) :- System(S), Schedule(SCH), CourseOffering(CO), contains(SCH, CO).","System(?S) ∧ Schedule(?SCH) ∧ CourseOffering(?CO) ∧ contains(?SCH,?CO) => can_cancel(?S,?SCH,?CO)"
"""The system requests that the Registrar specify the function he or she would like to perform (either Add a Student, Update a Student, or Delete a Student)""",Registrar(R).,Student(S).,"can_perform(R, Function) :- Registrar(R), Function in {add_student, update_student, delete_student}.","specify_function(R, Function) :- Registrar(R), can_perform(R, Function).","Registrar(?R) ∧ can_perform(?R,?Function) => specify_function(?R,?Function)"
They will also need to see which students signed up for their course offerings.,"Instructor(I), Student(S).",CourseOffering(CO).,"teaches(I, CO) :- Instructor(I), CourseOffering(CO).
signed_up(S, CO) :- Student(S), CourseOffering(CO).","can_view_students(I, CO) :- Instructor(I), CourseOffering(CO), teaches(I, CO).
can_view_signed_up(I, S, CO) :- Instructor(I), Student(S), CourseOffering(CO), teaches(I, CO), signed_up(S, CO).","Instructor(?I) ∧ CourseOffering(?CO) ∧ teaches(?I,?CO). can_view_signed_up(I,?S,?CO) => can_view_students(?I,?CO)"
"""If no alternates are available, then no substitution will be made.""",Agent(A).,"Item(I), AlternateItem(ALT).","has_alternate(I, ALT) :- Item(I), AlternateItem(ALT).","can_substitute(A, I, ALT) :- Agent(A), Item(I), AlternateItem(ALT), has_alternate(I, ALT).","Agent(?A) ∧ Item(?I) ∧ AlternateItem(?ALT) ∧ has_alternate(?I,?ALT) => can_substitute(?A,?I,?ALT)"
The Student also selects any course offerings to delete from the existing schedule.,Student(S).,CourseOffering(CO).,"has_scheduled(S, CO) :- Student(S), CourseOffering(CO).","can_delete(S, CO) :- Student(S), CourseOffering(CO), has_scheduled(S, CO).","Student(?S) ∧ CourseOffering(?CO) ∧ has_scheduled(?S,?CO) => can_delete(?S,?CO)"
"""If a course offering becomes full while a student is building a schedule including that offering, the student must be notified.""",Student(S).,CourseOffering(CO).,"building_schedule(S, CO) :- Student(S), CourseOffering(CO).","must_notify(S, CO) :- Student(S), CourseOffering(CO), building_schedule(S, CO), is_full(CO).","Student(?S) ∧ CourseOffering(?CO) ∧ building_schedule(?S,?CO) ∧ is_full(?CO) => must_notify(?S,?CO)"
Only Professors can enter grades for students.,Professor(P).,"Student(S), Grade(G).","teaches(P, S) :- Professor(P), Student(S).","can_enter_grade(P, S, G) :- Professor(P), Student(S), Grade(G), teaches(P, S).","Professor(?P) ∧ Student(?S) ∧ Grade(?G) ∧ teaches(?P,?S) => can_enter_grade(?P,?S,?G)"
The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,Professor(P).,CourseOffering(C).,"wishes_to_teach(P, C) :- Professor(P), CourseOffering(C).","can_select(P, C) :- Professor(P), CourseOffering(C), wishes_to_teach(P, C). can_deselect(P, C) :- Professor(P), CourseOffering(C), wishes_to_teach(P, C).","Professor(?P) ∧ CourseOffering(?C) ∧ wishes_to_teach(?P,?C). can_deselect(P,?C) => can_select(?P,?C)"
The professor is added to the system.,Professor(P).,System(S).,"added_to(P, S) :- Professor(P), System(S).","can_access(P, S) :- Professor(P), System(S), added_to(P, S).","Professor(?P) ∧ System(?S) ∧ added_to(?P,?S) => can_access(?P,?S)"
The Student selects 4 primary course offerings and 2 alternate course offerings from the list of available offerings.,Student(S).,CourseOffering(CO).,"selects_primary(S, CO) :- Student(S), CourseOffering(CO).
selects_alternate(S, CO) :- Student(S), CourseOffering(CO).","can_select(S) :- Student(S), count(selects_primary(S, CO)) = 4, count(selects_alternate(S, CO)) = 2.","Student(?S) ∧ count(?selects_primary(S, CO)) ∧ count(?selects_alternate(S, CO)) => can_select(?S)"
This use case allows the Registrar to maintain student information in the registration system.,Registrar(R).,"Student(S), RegistrationSystem(RS).","has_access_to(R, RS) :- Registrar(R), RegistrationSystem(RS).","can_maintain(R, S, RS) :- Registrar(R), Student(S), RegistrationSystem(RS), has_access_to(R, RS).","Registrar(?R) ∧ Student(?S) ∧ RegistrationSystem(?RS) ∧ has_access_to(?R,?RS) => can_maintain(?R,?S,?RS)"
The Student verifies the deletion.,Student(S).,Deletion(DEL).,"can_verify(S, DEL) :- Student(S), Deletion(DEL).","verify(S, DEL) :- Student(S), Deletion(DEL), can_verify(S, DEL).","Student(?S) ∧ Deletion(?DEL) ∧ can_verify(?S,?DEL) => verify(?S,?DEL)"
"""If, in the Update a Professor  or Delete a Professor sub-flows, a professor with the specified id number does not exist, the system displays an error message.""",User(U).,Professor(P).,"has_id(P, ID) :- Professor(P).","can_update_or_delete(U, P) :- User(U), Professor(P), has_id(P, ID). display_error(U) :- User(U), not exists Professor(P) with has_id(P, ID).","User(?U) ∧ Professor(?P) ∧ has_id(?P,?ID). display_error(U) => can_update_or_delete(?U,?P)"
Professors will be able to access the system to sign up to teach courses as well as record grades.,Professor(P).,"Course(C), Grade(G).","teaches(P, C) :- Professor(P), Course(C).","can_access_system(P) :- Professor(P). can_sign_up_to_teach(P, C) :- Professor(P), Course(C). can_record_grade(P, G) :- Professor(P), Grade(G).","Professor(?P). can_sign_up_to_teach(P,?C) => can_access_system(?P)"
"""If, in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist, the system displays an error message.""",User(U).,Student(S).,"has_id(S, ID) :- Student(S).","can_update_or_delete(U, S) :- User(U), Student(S), has_id(S, ID). display_error(U, S) :- User(U), Student(S), not has_id(S, ID).","User(?U) ∧ Student(?S) ∧ has_id(?S,?ID). display_error(U,?S) => can_update_or_delete(?U,?S)"
