xacml,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,carminati
"<Policy PolicyId=""RPSlist.0.0.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc_chair</AttributeValue>
<AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.0.0.0.r.1"">
                    <Target/>
                </Rule>
            </Policy>",User(U).,Resource(R).,"has_role(U, 'pc_chair') :- User(U).","can_access(U, R, 'read') :- User(U), Resource(R), has_role(U, 'pc_chair'). can_access(U, R, 'create') :- User(U), Resource(R), has_role(U, 'pc_chair').","User(?U) ∧ Resource(?R) ∧ has_role(?U,?'pc_chair'). can_access(U,?R,'create') => can_access(?U,?R,'read')"
"<Policy PolicyId=""RPSlist.0.0.2"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
<AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
<AttributeDesignator AttributeId=""isMeeting"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.0.0.2.r.1"">
                    <Target/>
                </Rule>
            </Policy>",User(U).,Resource(R).,"has_role(U, ""pc-member"") :- User(U).
has_attribute(U, ""isMeeting"", ""true"") :- User(U).","can_access(U, R, ""read"") :- User(U), Resource(R), has_role(U, ""pc-member""), has_attribute(U, ""isMeeting"", ""true"").","User(?U) ∧ Resource(?R) ∧ has_role(?U,""pc-member"") ∧ has_attribute(?U,""isMeeting"",""true"") => can_access(?U,?R,""read"")"
"<Policy PolicyId=""RPSlist.0.0.3"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target/>
                <Rule Effect=""Deny"" RuleId=""RPSlist.0.0.3.r.1"">
                    <Target/>
                </Rule>
            </Policy>",,,,,"Subject(?S) ∧ Object(?O) => can_access(?S,?O,?read)"
"<Policy PolicyId=""RPSlist.1.0.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.1.0.0.r.1"">
                    <Target/>
                </Rule>
            </Policy>",Subject(S).,Object(O).,,"can_access(S, O, read) :- Subject(S), Object(O).","User(?U) ∧ Resource(?Res) ∧ Action(?Action) ∧ has_role(?U,'pc_chair') ∧ ?(Action = ?'read'; Action = 'create') => can_access(?U,?Res,?Action)"
"<Policy PolicyId=""RPSlist.1.0.1.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc_chair</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.1.0.1.0.r.1"">
                        <Target/>
                    </Rule>
                </Policy>","User(U), Role(R).",Resource(Res).,"has_role(U, R) :- User(U), Role(R).","can_access(U, Res, Action) :- User(U), Resource(Res), Action(Action), has_role(U, 'pc_chair'), (Action = 'read'; Action = 'create').","User(?U) ∧ Resource(?R) ∧ has_role(?U,""pc-chair"") => can_access(?U,?R,""read"")"
"<Policy PolicyId=""RPSlist.1.0.1.1"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-chair</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.1.0.1.1.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",User(U).,Resource(R).,"has_role(U, ""pc-chair"") :- User(U).","can_access(U, R, ""read"") :- User(U), Resource(R), has_role(U, ""pc-chair"").","PC_Member(?S) ∧ Meeting(?M) ∧ is_meeting(?M) => can_read(?S,?M)"
"<Policy PolicyId=""RPSlist.1.0.1.2"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
    <AttributeDesignator AttributeId=""isMeeting"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.1.0.1.2.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",PC_Member(S).,Meeting(M).,is_meeting(M) :- Meeting(M).,"can_read(S, M) :- PC_Member(S), Meeting(M), is_meeting(M).","subject(?S) ∧ object(?O) ∧ action(?A) => deny(?S,?O,?A)"
"<Policy PolicyId=""RPSlist.1.0.1.3"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target/>
                    <Rule Effect=""Deny"" RuleId=""RPSlist.1.0.1.3.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",,,,"deny(S, O, A) :- subject(S), object(O), action(A).","Subject(?S) ∧ Resource(?R) ∧ has_role(?S,?pc_member) => can_access(?S,?R,?read)"
"<Policy PolicyId=""RPSlist.2.0.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
<AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.2.0.0.r.1"">
                    <Target/>
                </Rule>
            </Policy>",Subject(S).,Resource(R).,"has_role(S, pc_member) :- Subject(S).","can_access(S, R, read) :- Subject(S), Resource(R), has_role(S, pc_member).","User(?U) ∧ Resource(?R) ∧ has_role(?U,""pc_chair"") => can_access(?U,?R,""create"")"
"<Policy PolicyId=""RPSlist.2.0.1"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc_chair</AttributeValue>
<AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.2.0.1.r.1"">
                    <Target/>
                </Rule>
            </Policy>",User(U).,Resource(R).,"has_role(U, ""pc_chair"") :- User(U).","can_access(U, R, ""create"") :- User(U), Resource(R), has_role(U, ""pc_chair"").","User(?U) ∧ Paper(?P) ∧ has_role(?U,'pc_chair') => can_create(?U,?P)"
