natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,cheng
The user's associated filter initially has all empty inputs for the filtering criteria before the user modifies it.,User(U).,"Filter(F), Criteria(C).","has_filter(U, F) :- User(U), Filter(F). has_criteria(F, C) :- Filter(F), Criteria(C). is_empty(F, C) :- Filter(F), Criteria(C).","can_modify(U, F, C) :- User(U), Filter(F), Criteria(C), has_filter(U, F), has_criteria(F, C), is_empty(F, C).","< can_modify, (u_a, (""[has_filter.has_criteria]"", 2) ∧ (""[has_filter.is_empty]"", 2)) >"
"The HCP confirms the reassignment, or cancels the reassignment .",HCP(H).,Reassignment(R).,"is_assigned_to(H, R) :- HCP(H), Reassignment(R).","can_confirm(H, R) :- HCP(H), Reassignment(R), is_assigned_to(H, R). can_cancel(H, R) :- HCP(H), Reassignment(R), is_assigned_to(H, R).","< can_confirm, (u_a, (""[is_assigned_to]"", 1)) >"
The user can select an office visit from the calendar to read the visit's details .,User(U).,OfficeVisit(OV).,"has_access_to(U, OV) :- User(U), OfficeVisit(OV).","can_read(U, OV) :- User(U), OfficeVisit(OV), has_access_to(U, OV).","< can_read, (u_a, (""[has_access_to]"", 1)) >"
"When an LHCP views a list of his or her upcoming appointments, they are presented with an option to edit or remove the appointment.",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A). can_edit_appointment(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A). can_remove_appointment(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).","< can_view_appointments, (u_a, (""[has_appointment]"", 1)) >"
A LHCP creates an  UAP.,LHCP(L).,UAP(U).,"creates(L, U) :- LHCP(L), UAP(U).","can_create(L, U) :- LHCP(L), UAP(U), creates(L, U).","< can_create, (u_a, (""[creates]"", 1)) >"
The patient has authenticated himself or herself in the iTrust Medical Records system(UC3).,Patient(P).,System(S).,"authenticated(P, S) :- Patient(P), System(S).","can_access(P, S) :- Patient(P), System(S), authenticated(P, S).","< can_access, (u_a, (""[authenticated]"", 1)) >"
The message will display the risk factors that the patients exhibit.,Patient(P).,RiskFactor(RF).,"exhibits(P, RF) :- Patient(P), RiskFactor(RF).","can_display_message(P, RF) :- Patient(P), RiskFactor(RF), exhibits(P, RF).","< can_display_message, (u_a, (""[exhibits]"", 1)) >"
The sending HCP does not confirm the selection and is prompted to try again.,HCP(H).,Selection(S).,"has_selection(H, S) :- HCP(H), Selection(S).","can_confirm(H, S) :- HCP(H), Selection(S), not has_confirmed(H, S).","< can_confirm, (u_a, ¬ (""[has_confirmed]"", 1)) >"
"The patient may choose to view the list sorted by the role of the accessor relative to the patient (personal health representative, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type, most recent access first.","Patient(P), Accessor(A).",AccessLog(L).,"has_role(A, Role) :- Accessor(A), Role in {personal_health_representative, LHCP, UAP, Emergency_Responder}. has_access_log(L, A, P, Date) :- AccessLog(L), Accessor(A), Patient(P).","can_view_sorted(P, L) :- Patient(P), AccessLog(L), has_access_log(L, A, P, Date), has_role(A, Role), sorted_by_role_and_date(L, Role, Date). sorted_by_role_and_date(L, Role, Date) :- AccessLog(L), has_role(A, Role), has_access_log(L, A, P, Date), order_by(Role, Date desc).","< can_view_sorted, (u_a, (""[has_access_log^{-1}]"", 1) ∧ (""[has_access_log^{-1}]"", 1)) >"
Both patients and LHCPs can view a list of their upcoming appointments .,"Patient(P), LHCP(L).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).
has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A).
can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).","< can_view, (u_a, (""[has_appointment]"", 1)) >
< can_view, (u_a, (""[has_appointment]"", 1)) >"
A patient may view his or her own lab procedure.,Patient(P).,LabProcedure(LP).,"has_lab_procedure(P, LP) :- Patient(P), LabProcedure(LP).","can_view(P, LP) :- Patient(P), LabProcedure(LP), has_lab_procedure(P, LP).","< can_view, (u_a, (""[has_lab_procedure]"", 1)) >"
The administrator has authenticated himself or herself in the iTrust Medical Records system (UC3).,Administrator(A).,System(S).,"authenticated_in(A, S) :- Administrator(A), System(S).","can_access(A, S) :- Administrator(A), System(S), authenticated_in(A, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
The iTrust user (patient) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
The patient can also add a LHCP to their provider list by searching for the name possibly and possibly specialty of a LHCP  and then selecting to add the HCP to their list of providers.,Patient(P).,"LHCP(L), ProviderList(PL).","has_provider_list(P, PL) :- Patient(P), ProviderList(PL).","can_add_lhcp(P, L) :- Patient(P), LHCP(L), not has_provider(P, L).","< can_add_lhcp, (u_a, ¬ (""[has_provider]"", 1)) >"
"The user selects a prescription from the calendar to read its details by clicking the Read Details link beside or below the medication displayed for the prescription, and then the details for the prescription shall be displayed in a new page, including the medications prescribed (i.e., NDC, see Data Format 6.6), date prescribed, start date, end date for each prescription, and the name of the doctor who prescribed the medication.","User(U), Doctor(D).","Prescription(PR), Medication(M).","has_prescription(U, PR) :- User(U), Prescription(PR).
prescribed_by(PR, D) :- Prescription(PR), Doctor(D).
contains_medication(PR, M) :- Prescription(PR), Medication(M).","can_read_details(U, PR) :- User(U), Prescription(PR), has_prescription(U, PR).","< can_read_details, (u_a, (""[has_prescription]"", 1)) >"
An LHCP can delete a patient from his or her monitoring list by the LHCP typing the the patient's MID .,LHCP(L).,Patient(P).,"monitors(L, P) :- LHCP(L), Patient(P).","can_delete(L, P) :- LHCP(L), Patient(P), monitors(L, P).","< can_delete, (u_a, (""[monitors]"", 1)) >"
An HCP may enter or edit their own demographic information according to data format 6.2.,HCP(H).,DemographicInfo(DI).,"owns(H, DI) :- HCP(H), DemographicInfo(DI).","can_enter_edit(H, DI) :- HCP(H), DemographicInfo(DI), owns(H, DI).","< can_enter_edit, (u_a, (""[owns]"", 1)) >"
A user chooses to view physician satisfaction survey results.,User(U).,Survey(S).,"has_access_to(U, S) :- User(U), Survey(S), is_physician_satisfaction_survey(S).","can_view(U, S) :- User(U), Survey(S), has_access_to(U, S).","< can_view, (u_a, (""[has_access_to]"", 1)) >"
An LHCP can view a list of their upcoming appointment requests .,LHCP(L).,AppointmentRequest(AR).,"has_upcoming_request(L, AR) :- LHCP(L), AppointmentRequest(AR).","can_view(L, AR) :- LHCP(L), AppointmentRequest(AR), has_upcoming_request(L, AR).","< can_view, (u_a, (""[has_upcoming_request]"", 1)) >"
A patient may view his or her own lab procedure results .,Patient(P).,LabProcedure(LP).,"has_lab_procedure(P, LP) :- Patient(P), LabProcedure(LP).","can_view(P, LP) :- Patient(P), LabProcedure(LP), has_lab_procedure(P, LP).","< can_view, (u_a, (""[has_lab_procedure]"", 1)) >"
The LHCP clicks this number to view the physiologic data monitoring details of his or her patients for the current date.,LHCP(L).,"Patient(P), PhysiologicData(PD).","has_patient(L, P) :- LHCP(L), Patient(P). has_data(P, PD, Date) :- Patient(P), PhysiologicData(PD), Date(Date).","can_view(L, P, PD) :- LHCP(L), Patient(P), PhysiologicData(PD), has_patient(L, P), has_data(P, PD, current_date).","< can_view, (u_a, (""[has_patient.has_data]"", 2)) >"
The iTrust user (HCP or patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S).","< can_access, (u_a, (""[authenticated]"", 1)) >"
"The hcp documents the office visit date; hospital location of the office visit, if any, (the default should be the HCP's home location); and notes about an office visit.",HCP(H).,"OfficeVisit(OV), Date(D), HospitalLocation(HL), Note(N).","has_home_location(H, HL) :- HCP(H), HospitalLocation(HL).
has_office_visit(H, OV) :- HCP(H), OfficeVisit(OV).
has_date(OV, D) :- OfficeVisit(OV), Date(D).
has_location(OV, HL) :- OfficeVisit(OV), HospitalLocation(HL).
has_note(OV, N) :- OfficeVisit(OV), Note(N).","can_document(H, OV, D, HL, N) :- HCP(H), OfficeVisit(OV), Date(D), HospitalLocation(HL), Note(N), has_office_visit(H, OV), has_date(OV, D), (has_location(OV, HL) ; (not has_location(OV, _), has_home_location(H, HL))), has_note(OV, N).","< can_document, (u_a, (""[has_office_visit.has_note]"", 2)) >"
The iTrust user (patient or HCP) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
