natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,cheng
The organisation may use email addresses to answer inquiries.,Organisation(O).,"EmailAddress(E), Inquiry(I).","has_inquiry(O, I) :- Organisation(O), Inquiry(I).","can_use_email(O, E, I) :- Organisation(O), EmailAddress(E), Inquiry(I), has_inquiry(O, I).","< can_use_email, (u_a, (""[has_inquiry]"", 1)) >"
He or she also can read the information about the distribution of options.,User(U).,DistributionInfo(DI).,"has_access_to(U, DI) :- User(U), DistributionInfo(DI).","can_read(U, DI) :- User(U), DistributionInfo(DI), has_access_to(U, DI).","< can_read, (u_a, (""[has_access_to]"", 1)) >"
The director can promote an employee to be a  manager.,Director(D).,Employee(E).,"is_director_of(D, E) :- Director(D), Employee(E).","can_promote(D, E) :- Director(D), Employee(E), is_director_of(D, E).","< can_promote, (u_a, (""[is_director_of]"", 1)) >"
"An employee can appoint another employee to be his advocate, and have read access to his bonus information – for example, this might be useful if he needs help from a trade union.","Employee(E1), Employee(E2).",BonusInfo(B).,"has_advocate(E1, E2) :- Employee(E1), Employee(E2).","can_read(E2, B) :- Employee(E2), BonusInfo(B), has_advocate(E1, E2), owns_bonus_info(E1, B).","< can_read, (u_a, (""[has_advocate^{-1}.owns_bonus_info]"", 2)) >"
A professor can review the same project at most one time.,Professor(P).,Project(PR).,"has_reviewed(P, PR) :- Professor(P), Project(PR).","can_review(P, PR) :- Professor(P), Project(PR), not has_reviewed(P, PR).","< can_review, (u_a, ¬ (""[has_reviewed]"", 1)) >"
The PC chair appoints the PC members.,PC_Chair(C).,PC_Member(M).,"appoints(C, M) :- PC_Chair(C), PC_Member(M).","can_appoint(C, M) :- PC_Chair(C), PC_Member(M), appoints(C, M).","< can_appoint, (u_a, (""[appoints]"", 1)) >"
A PC member can resign his membership.,PC_Member(P).,Membership(M).,"has_membership(P, M) :- PC_Member(P), Membership(M).","can_resign(P, M) :- PC_Member(P), Membership(M), has_membership(P, M).","< can_resign, (u_a, (""[has_membership]"", 1)) >"
"The manager has the broadest access to the information, including access to personal, financial, clinical and medical information about each resident.",Manager(M).,"Resident(R), Information(I).","has_access_to(M, I) :- Manager(M), Information(I), is_about(I, R).","can_access(M, R, I) :- Manager(M), Resident(R), Information(I), is_about(I, R), has_access_to(M, I).","< can_access, (u_a, (""[has_access_to]"", 1)) >"
Only the manager is allowed to delete the information about a resident but here also that right is restricted.,Manager(M).,"Resident(R), ResidentInfo(RI).","manages(M, R) :- Manager(M), Resident(R).","can_delete(M, RI) :- Manager(M), ResidentInfo(RI), manages(M, R), associated_with(RI, R).","< can_delete, (u_a, (""[manages.associated_with^{-1}]"", 2)) >"
"For a special purpose, access to an older medical record can be sought and obtained from the manager.","User(U), Manager(M).",MedicalRecord(MR).,is_older(MR) :- MedicalRecord(MR).,"can_access(U, MR) :- User(U), MedicalRecord(MR), is_older(MR), Manager(M), has_permission(M, U, MR).","< can_access, (u_a, (""[has_permission^{-1}.has_permission]"", 2)) >"
