natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,cheng
CyberChair generates a paper distribution proposal for the PCC.,CyberChair(C).,"Paper(P), PCC(PC).","generates_proposal(C, P, PC) :- CyberChair(C), Paper(P), PCC(PC).","can_generate(C, P, PC) :- CyberChair(C), Paper(P), PCC(PC), generates_proposal(C, P, PC).","< can_generate, (u_a, (""[generates_proposal]"", 1)) >"
"In step 2, the full paper must be submitted by uploading it.",Author(A).,Paper(P).,"has_author(P, A) :- Paper(P), Author(A).","can_submit(A, P) :- Author(A), Paper(P), has_author(P, A).","< can_submit, (u_a, (""[has_author^{-1}]"", 1)) >"
"Although CyberChair is not something to sit in (please refer to www.cyberchair.com if you are looking for that), when you are a program chair, you can sit back, relax and watch the progress of the submission and review process.",ProgramChair(PC).,"Submission(S), Review(R).","has_progress(PC, S, R) :- ProgramChair(PC), Submission(S), Review(R).","can_watch_progress(PC, S, R) :- ProgramChair(PC), Submission(S), Review(R), has_progress(PC, S, R).","< can_watch_progress, (u_a, (""[has_progress]"", 1)) >"
"For this process to work smoothly, the abstracts should be submitted at least one week  before the full paper is submitted.",Author(A).,"Abstract(AB), Paper(P).","submitted_abstract(A, AB, TimeAB) :- Author(A), Abstract(AB). submitted_paper(A, P, TimeP) :- Author(A), Paper(P).","can_submit_paper(A, P) :- Author(A), Paper(P), submitted_abstract(A, AB, TimeAB), submitted_paper(A, P, TimeP), TimeAB <= TimeP - 7 days.","< can_submit_paper, (u_a, (""[submitted_paper]"", 1)) >"
"In the first step, authors must fill in a webform shown by figures 1 and 2, on which they state their names and contact information, the title of their paper, an abstract of the paper, and indicate which conference topics their paper covers.",Author(A).,"Paper(P), ConferenceTopic(T).","submits(A, P) :- Author(A), Paper(P). covers_topic(P, T) :- Paper(P), ConferenceTopic(T).","can_fill_form(A, P) :- Author(A), Paper(P), submits(A, P).","< can_fill_form, (u_a, (""[submits]"", 1)) >"
His or her personal webpage will then be updated automatically.,User(U).,Webpage(W).,"has_webpage(U, W) :- User(U), Webpage(W).","can_update_webpage(U, W) :- User(U), Webpage(W), has_webpage(U, W).","< can_update_webpage, (u_a, (""[has_webpage]"", 1)) >"
Other reasons are that authors are forced to use it to submit their paper.,Author(A).,Paper(P).,"forced_to_submit(A, P) :- Author(A), Paper(P).","can_submit(A, P) :- Author(A), Paper(P), forced_to_submit(A, P).","< can_submit, (u_a, (""[forced_to_submit]"", 1)) >"
"You may also want to take a look at 2 posters: an overview (, 140 Kb) and a picture containing screenshots (, 1.71 Mb).",User(U).,Poster(PO).,"has_access(U, PO) :- User(U), Poster(PO).","can_view(U, PO) :- User(U), Poster(PO), has_access(U, PO).","< can_view, (u_a, (""[has_access]"", 1)) >"
It generates several overviews based on the reviews which support the Program Committee (PC) in selecting the best papers.,"ProgramCommittee(PC), Reviewer(R), Paper(P).","Overview(O), Review(Rev).","has_review(P, Rev) :- Paper(P), Review(Rev). generates_overview(PC, O) :- ProgramCommittee(PC), Overview(O). supports_selection(PC, P) :- ProgramCommittee(PC), Paper(P).","can_select_best(PC, P) :- ProgramCommittee(PC), Paper(P), supports_selection(PC, P).","< can_select_best, (u_a, (""[supports_selection]"", 1)) >"
Authors can submit their abstracts and papers using the web (uploading).,Author(A).,"Abstract(AB), Paper(P).","has_abstract(A, AB) :- Author(A), Abstract(AB). has_paper(A, P) :- Author(A), Paper(P).","can_submit(A, AB, P) :- Author(A), Abstract(AB), Paper(P), has_abstract(A, AB), has_paper(A, P).","< can_submit, (u_a, (""[has_paper]"", 1)) >"
"To be able to protect the reviews from outsiders, each reviewer gets his or her own directory on the webserver.",Reviewer(R).,"Directory(D), Review(REV).","has_directory(R, D) :- Reviewer(R), Directory(D).","can_access(R, REV) :- Reviewer(R), Review(REV), has_directory(R, D), associated(REV, D).","< can_access, (u_a, (""[has_directory.associated^{-1}]"", 2)) >"
"Further, a high or low priority should be chosen, to indicate how eager they are to review the paper.",Reviewer(R).,Paper(P).,"has_priority(R, P, Priority) :- Reviewer(R), Paper(P), Priority in {high, low}.","can_assign_review(R, P) :- Reviewer(R), Paper(P), has_priority(R, P, Priority).","< can_assign_review, (u_a, (""[has_priority]"", 1)) >"
These overviews can be printed in case reviewers want to read the abstracts offline.,Reviewer(R).,Overview(O).,"wants_to_read_offline(R, O) :- Reviewer(R), Overview(O).","can_print(R, O) :- Reviewer(R), Overview(O), wants_to_read_offline(R, O).","< can_print, (u_a, (""[wants_to_read_offline]"", 1)) >"
"All review files a reviewer needs, such as the review form and other reviewers’ reviews, are written in the reviewer’s directory.",Reviewer(R).,ReviewFile(F).,"has_directory(R, D) :- Reviewer(R), Directory(D).
contains_file(D, F) :- Directory(D), ReviewFile(F).","can_access(R, F) :- Reviewer(R), ReviewFile(F), has_directory(R, D), contains_file(D, F).","< can_access, (u_a, (""[has_directory.contains_file]"", 2)) >"
Authors must submit their paper in two steps.,Author(A).,Paper(P).,"has_paper(A, P) :- Author(A), Paper(P).","can_submit_step1(A, P) :- Author(A), Paper(P), has_paper(A, P). can_submit_step2(A, P) :- Author(A), Paper(P), has_paper(A, P), can_submit_step1(A, P).","< can_submit_step1, (u_a, (""[has_paper]"", 1) ∧ (""[can_submit_step1]"", 1)) >"
"In case a reviewer has already submitted a review of the selected paper, hyperlinks to the reviews of the other reviewers are shown, so that the reviewer can read their opinion.","Reviewer(R), Paper(P).",Review(REV).,"has_submitted(R, P, REV) :- Reviewer(R), Paper(P), Review(REV).","can_view_other_reviews(R, P) :- Reviewer(R), Paper(P), has_submitted(R, P, REV), not (Reviewer(R2), has_submitted(R2, P, REV2), R2 != R).","< can_view_other_reviews, (u_a, (""[has_submitted]"", 1)) >"
"As soon as the reviewer has submitted his or her review, the review will be the default to be displayed in this frame when the reviewer clicks on the paper number in the top frame.",Reviewer(R).,"Paper(P), Review(Rev).","submitted_review(R, P, Rev) :- Reviewer(R), Paper(P), Review(Rev).","can_display_default(R, P, Rev) :- Reviewer(R), Paper(P), Review(Rev), submitted_review(R, P, Rev).","< can_display_default, (u_a, (""[submitted_review]"", 1)) >"
"It helps the PC to select the best papers for the conference, which makes it a group decision support system.","PC_Member(PM), Conference(C).",Paper(P).,"is_member_of(PM, C) :- PC_Member(PM), Conference(C).","can_select(PM, P, C) :- PC_Member(PM), Paper(P), Conference(C), is_member_of(PM, C).","< can_select, (u_a, (""[is_member_of]"", 1)) >"
You will see a list of overviews that are available to the chair.,Chair(C).,Overview(O).,"available_to(C, O) :- Chair(C), Overview(O).","can_view(C, O) :- Chair(C), Overview(O), available_to(C, O).","< can_view, (u_a, (""[available_to]"", 1)) >"
"Each time the reviewer clicks on a paper number in the top frame, CyberChair checks if the reviewer has already submitted his or her review.","Reviewer(R), CyberChair(C).",Paper(P).,"has_submitted_review(R, P) :- Reviewer(R), Paper(P).","can_access_paper(R, P) :- Reviewer(R), Paper(P), CyberChair(C), not has_submitted_review(R, P).","< can_access_paper, (u_a, ¬ (""[has_submitted_review]"", 1)) >"
The authors may make corrections or changes to the  information that was submitted in step 1.,"Author(A), Information(I).",Information(I).,"submitted_in_step1(A, I) :- Author(A), Information(I).","can_modify(A, I) :- Author(A), Information(I), submitted_in_step1(A, I).","< can_modify, (u_a, (""[submitted_in_step1]"", 1)) >"
Reviews can be updated.,User(U).,Review(R).,"has_review(U, R) :- User(U), Review(R).","can_update(U, R) :- User(U), Review(R), has_review(U, R).","< can_update, (u_a, (""[has_review]"", 1)) >"
"To enter the review process, authors must send their paper to the Program Committee Chair (PCC).",Author(A).,Paper(P).,"is_author_of(A, P) :- Author(A), Paper(P).","can_enter_review_process(A, P) :- Author(A), Paper(P), is_author_of(A, P), sent_to_pcc(A, P).","< can_enter_review_process, (u_a, (""[is_author_of]"", 1) ∧ (""[sent_to_pcc]"", 1)) >"
"This way, the reviewer can always look at the latest version of the reviews.",Reviewer(R).,Review(Rev).,"has_access(R, Rev) :- Reviewer(R), Review(Rev).","can_view(R, Rev) :- Reviewer(R), Review(Rev), has_access(R, Rev).","< can_view, (u_a, (""[has_access]"", 1)) >"
"If this is the case, then the reviews of the other reviewers for this paper are copied into the reviewer’s directory.","Reviewer(R), Paper(P).","Review(Rev), Directory(Dir).","has_review(P, R, Rev) :- Paper(P), Reviewer(R), Review(Rev). assigned_to(R, P) :- Reviewer(R), Paper(P). has_directory(R, Dir) :- Reviewer(R), Directory(Dir).","can_copy_reviews(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P), has_directory(R, Dir), has_review(P, OtherR, Rev), Reviewer(OtherR), OtherR != R, not has_review_in_directory(R, Rev, Dir). has_review_in_directory(R, Rev, Dir) :- Reviewer(R), Review(Rev), Directory(Dir).","< can_copy_reviews, (u_a, (""[assigned_to]"", 1) ∧ ¬ (""[has_review_in_directory.has_review^{-1}]"", 2) ∧ ¬ (""[has_review_in_directory.has_review^{-1}]"", 2)) >"
"Reviewers can browse the overviews by conference topic, to quickly identify the papers that match their interest  and expertise (Figure 3).",Reviewer(R).,"Paper(P), ConferenceTopic(T).","has_interest(R, T) :- Reviewer(R), ConferenceTopic(T). has_expertise(R, T) :- Reviewer(R), ConferenceTopic(T). matches_topic(P, T) :- Paper(P), ConferenceTopic(T).","can_browse(R, P, T) :- Reviewer(R), Paper(P), ConferenceTopic(T), has_interest(R, T), has_expertise(R, T), matches_topic(P, T).","< can_browse, (u_a, (""[has_interest]"", 1) ∧ (""[has_expertise]"", 1)) >"
"Each reviewer gets a personal, password-protected webpage, that contains links to the papers (s)he is assigned to review, so they can be downloaded.",Reviewer(R).,"Webpage(W), Paper(P).","has_webpage(R, W) :- Reviewer(R), Webpage(W). assigned_to(R, P) :- Reviewer(R), Paper(P). contains_link(W, P) :- Webpage(W), Paper(P).","can_access(R, W) :- Reviewer(R), Webpage(W), has_webpage(R, W). can_download(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P), contains_link(W, P), has_webpage(R, W).","< can_access, (u_a, (""[assigned_to.contains_link^{-1}]"", 2) ∧ (""[has_webpage]"", 1)) >"
