natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,cheng
They will also need to see which students signed up for their course offerings.,"Instructor(I), Student(S).",CourseOffering(CO).,"teaches(I, CO) :- Instructor(I), CourseOffering(CO).
signed_up(S, CO) :- Student(S), CourseOffering(CO).","can_view_students(I, CO) :- Instructor(I), CourseOffering(CO), teaches(I, CO).
can_view_signed_up(I, S, CO) :- Instructor(I), Student(S), CourseOffering(CO), teaches(I, CO), signed_up(S, CO).","< can_view_students, (u_a, (""[teaches]"", 1)) >
< can_view_signed_up, (u_a, (""[teaches]"", 1)) >"
The Student also selects any course offerings to delete from the existing schedule.,Student(S).,CourseOffering(CO).,"has_scheduled(S, CO) :- Student(S), CourseOffering(CO).","can_delete(S, CO) :- Student(S), CourseOffering(CO), has_scheduled(S, CO).","< can_delete, (u_a, (""[has_scheduled]"", 1)) >"
The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,Professor(P).,CourseOffering(C).,"wishes_to_teach(P, C) :- Professor(P), CourseOffering(C).","can_select(P, C) :- Professor(P), CourseOffering(C), wishes_to_teach(P, C). can_deselect(P, C) :- Professor(P), CourseOffering(C), wishes_to_teach(P, C).","< can_select, (u_a, (""[wishes_to_teach]"", 1)) >"
The professor is added to the system.,Professor(P).,System(S).,"added_to(P, S) :- Professor(P), System(S).","can_access(P, S) :- Professor(P), System(S), added_to(P, S).","< can_access, (u_a, (""[added_to]"", 1)) >"
This use case allows the Registrar to maintain student information in the registration system.,Registrar(R).,"Student(S), RegistrationSystem(RS).","has_access_to(R, RS) :- Registrar(R), RegistrationSystem(RS).","can_maintain(R, S, RS) :- Registrar(R), Student(S), RegistrationSystem(RS), has_access_to(R, RS).","< can_maintain, (u_a, (""[has_access_to]"", 1)) >"
"""For each selected course offering on the schedule not already marked as “enrolled in”, the system verifies that the Student has the necessary prerequisites, that the course offering is open, and that there are no schedule conflicts.""",Student(S).,CourseOffering(CO).,"selected(S, CO) :- Student(S), CourseOffering(CO).
enrolled_in(S, CO) :- Student(S), CourseOffering(CO).
has_prerequisite(S, CO) :- Student(S), CourseOffering(CO).
open(CO) :- CourseOffering(CO).
conflict(S, CO) :- Student(S), CourseOffering(CO).","can_enroll(S, CO) :- Student(S), CourseOffering(CO), selected(S, CO), not enrolled_in(S, CO), has_prerequisite(S, CO), open(CO), not conflict(S, CO).","< can_enroll, (u_a, (""[selected]"", 1) ∧ ¬ (""[enrolled_in]"", 1) ∧ (""[has_prerequisite]"", 1) ∧ ¬ (""[conflict]"", 1)) >"
"""At the end of the semester, the student will be able to access the system to view an electronic report card.""",Student(S).,ReportCard(RC).,"has_report_card(S, RC) :- Student(S), ReportCard(RC).","can_view(S, RC) :- Student(S), ReportCard(RC), has_report_card(S, RC).","< can_view, (u_a, (""[has_report_card]"", 1)) >"
The system deletes the student from the system.,System(S).,Student(ST).,"enrolled_in(ST, S) :- Student(ST), System(S).","can_delete(S, ST) :- System(S), Student(ST), enrolled_in(ST, S).","< can_delete, (u_a, (""[enrolled_in^{-1}]"", 1)) >"
"""In addition, each student will indicate two alternative choices in case the student cannot be assigned to a primary selection.""",Student(S).,Choice(C).,"has_primary_choice(S, C) :- Student(S), Choice(C). has_alternative_choice(S, C) :- Student(S), Choice(C).","can_assign_alternative(S, C) :- Student(S), Choice(C), has_alternative_choice(S, C), not has_primary_choice(S, C).","< can_assign_alternative, (u_a, (""[has_alternative_choice]"", 1) ∧ ¬ (""[has_primary_choice]"", 1)) >"
The system displays a list of course offerings the Professor taught in the previous semester.,Professor(P).,CourseOffering(C).,"taught_in_previous_semester(P, C) :- Professor(P), CourseOffering(C).","can_view_course_list(P, C) :- Professor(P), CourseOffering(C), taught_in_previous_semester(P, C).","< can_view_course_list, (u_a, (""[taught_in_previous_semester]"", 1)) >"
"""If there is no conflict, the system updates the course offering information for each offering the professor selects (i.e., records the professor as the instructor for the course offering).""",Professor(P).,CourseOffering(CO).,"has_conflict(P, CO) :- Professor(P), CourseOffering(CO).","can_update_offering(P, CO) :- Professor(P), CourseOffering(CO), not has_conflict(P, CO).","< can_update_offering, (u_a, ¬ (""[has_conflict]"", 1)) >"
The system requests that the Registrar enter the professor information.,Registrar(R).,ProfessorInfo(PI).,"has_access(R, PI) :- Registrar(R), ProfessorInfo(PI).","can_enter(R, PI) :- Registrar(R), ProfessorInfo(PI), has_access(R, PI).","< can_enter, (u_a, (""[has_access]"", 1)) >"
