natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,cheng
The LHCP is able to view the comprehensive patient report.,LHCP(L).,PatientReport(PR).,"has_access(L, PR) :- LHCP(L), PatientReport(PR).","can_view(L, PR) :- LHCP(L), PatientReport(PR), has_access(L, PR).","< can_view, (u_a, (""[has_access]"", 1)) >"
"""The reports are viewed under the """"View My Records"""" tab.""",User(U).,"Report(R), Tab(T).","has_access_to(U, R) :- User(U), Report(R). is_in_tab(R, T) :- Report(R), Tab(T).","can_view(U, R, T) :- User(U), Report(R), Tab(T), has_access_to(U, R), is_in_tab(R, T).","< can_view, (u_a, (""[has_access_to.is_in_tab]"", 2)) >"
An LHCP views a list of his upcoming appointments.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).","< can_view, (u_a, (""[has_appointment]"", 1)) >"
An administrator maintains the hospital listing.,Administrator(A).,HospitalListing(L).,"maintains(A, L) :- Administrator(A), HospitalListing(L).","can_maintain(A, L) :- Administrator(A), HospitalListing(L), maintains(A, L).","< can_maintain, (u_a, (""[maintains]"", 1)) >"
The HCP can add the prescription to the list of medications.,HCP(H).,"Prescription(PR), MedicationList(ML).","has_access_to(H, ML) :- HCP(H), MedicationList(ML).","can_add_prescription(H, PR, ML) :- HCP(H), Prescription(PR), MedicationList(ML), has_access_to(H, ML).","< can_add_prescription, (u_a, (""[has_access_to]"", 1)) >"
The HCP can edit the patient according to data format.,HCP(H).,"Patient(P), DataFormat(F).","has_access(H, P, F) :- HCP(H), Patient(P), DataFormat(F).","can_edit(H, P, F) :- HCP(H), Patient(P), DataFormat(F), has_access(H, P, F).","< can_edit, (u_a, (""[has_access]"", 1)) >"
The HCP notes about an office visit.,HCP(H).,OfficeVisit(V).,"has_note(H, V) :- HCP(H), OfficeVisit(V).","can_access_note(H, V) :- HCP(H), OfficeVisit(V), has_note(H, V).","< can_access_note, (u_a, (""[has_note]"", 1)) >"
System presents a listing of all immunizations for which he has been administered in the last 12 months.,User(U).,Immunization(I).,"administered_to(U, I, Date) :- User(U), Immunization(I), Date(Date), Date >= current_date - 365.","can_view_listing(U, I) :- User(U), Immunization(I), administered_to(U, I, Date).","< can_view_listing, (u_a, (""[administered_to]"", 1)) >"
The HCP can disallow viewing access to the laboratory results.,HCP(H).,LabResult(L).,"has_access(H, L) :- HCP(H), LabResult(L).","can_disallow_view(H, L) :- HCP(H), LabResult(L), has_access(H, L).","< can_disallow_view, (u_a, (""[has_access]"", 1)) >"
"""The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.""",Patient(P).,"Provider(PR), ZipCode(Z).","has_zip_code(P, Z) :- Patient(P), ZipCode(Z).
matches_zip_prefix(Z, PR) :- ZipCode(Z), Provider(PR).","can_access(P, PR) :- Patient(P), Provider(PR), has_zip_code(P, Z), matches_zip_prefix(Z, PR).","< can_access, (u_a, (""[has_zip_code.matches_zip_prefix]"", 2)) >"
The patient chooses My Diagnoses.,Patient(P).,Diagnosis(D).,"has_diagnosis(P, D) :- Patient(P), Diagnosis(D).","can_choose(P, D) :- Patient(P), Diagnosis(D), has_diagnosis(P, D).","< can_choose, (u_a, (""[has_diagnosis]"", 1)) >"
"""A patient, patient representative, or LHCP can sort messages in his message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.""","Patient(P), PatientRepresentative(PR), LHCP(L).","Message(M), Outbox(O).","has_outbox(P, O) :- Patient(P), Outbox(O). has_outbox(PR, O) :- PatientRepresentative(PR), Outbox(O). has_outbox(L, O) :- LHCP(L), Outbox(O). contains_message(O, M) :- Outbox(O), Message(M). recipient_last_name(M, LN) :- Message(M). message_timestamp(M, TS) :- Message(M).","can_sort_by_last_name_asc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O). can_sort_by_last_name_desc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O). can_sort_by_timestamp_asc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O). can_sort_by_timestamp_desc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O).","< can_sort_by_last_name_asc, (u_a, (""[has_outbox]"", 1)) >"
"""When an LHCP views a list of his upcoming appointments, system presents an option to edit or remove the appointment.""",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A). can_edit_or_remove_appointment(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).","< can_view_appointments, (u_a, (""[has_appointment]"", 1)) >"
The patient views his access log.,Patient(P).,AccessLog(L).,"owns_log(P, L) :- Patient(P), AccessLog(L).","can_view(P, L) :- Patient(P), AccessLog(L), owns_log(P, L).","< can_view, (u_a, (""[owns_log]"", 1)) >"
