natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
The user's associated filter initially has all empty inputs for the filtering criteria before the user modifies it.,User(U).,"Filter(F), Criteria(C).","has_filter(U, F) :- User(U), Filter(F). has_criteria(F, C) :- Filter(F), Criteria(C). is_empty(F, C) :- Filter(F), Criteria(C).","can_modify(U, F, C) :- User(U), Filter(F), Criteria(C), has_filter(U, F), has_criteria(F, C), is_empty(F, C).",has_filter.has_criteria
"If the confirmation screen does not show the name of the intended patient, the HCP is then prompted to input the correct patient identification information again.",HCP(H).,"Patient(P), ConfirmationScreen(S).","intended_patient(H, P) :- HCP(H), Patient(P).
shows_patient_name(S, P) :- ConfirmationScreen(S), Patient(P).","prompt_to_input_patient_info(H, P) :- HCP(H), Patient(P), intended_patient(H, P), not shows_patient_name(S, P).",intended_patient
"The HCP confirms the reassignment, or cancels the reassignment .",HCP(H).,Reassignment(R).,"is_assigned_to(H, R) :- HCP(H), Reassignment(R).","can_confirm(H, R) :- HCP(H), Reassignment(R), is_assigned_to(H, R). can_cancel(H, R) :- HCP(H), Reassignment(R), is_assigned_to(H, R).",is_assigned_to
The user can select an office visit from the calendar to read the visit's details .,User(U).,OfficeVisit(OV).,"has_access_to(U, OV) :- User(U), OfficeVisit(OV).","can_read(U, OV) :- User(U), OfficeVisit(OV), has_access_to(U, OV).",has_access_to
"When an LHCP views a list of his or her upcoming appointments, they are presented with an option to edit or remove the appointment.",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A). can_edit_appointment(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A). can_remove_appointment(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
A LHCP creates an  UAP.,LHCP(L).,UAP(U).,"creates(L, U) :- LHCP(L), UAP(U).","can_create(L, U) :- LHCP(L), UAP(U), creates(L, U).",creates
The patient has authenticated himself or herself in the iTrust Medical Records system(UC3).,Patient(P).,System(S).,"authenticated(P, S) :- Patient(P), System(S).","can_access(P, S) :- Patient(P), System(S), authenticated(P, S).",authenticated
The message will display the risk factors that the patients exhibit.,Patient(P).,RiskFactor(RF).,"exhibits(P, RF) :- Patient(P), RiskFactor(RF).","can_display_message(P, RF) :- Patient(P), RiskFactor(RF), exhibits(P, RF).",exhibits
"The patient may choose to view the list sorted by the role of the accessor relative to the patient (personal health representative, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type, most recent access first.","Patient(P), Accessor(A).",AccessLog(L).,"has_role(A, Role) :- Accessor(A), Role in {personal_health_representative, LHCP, UAP, Emergency_Responder}. has_access_log(L, A, P, Date) :- AccessLog(L), Accessor(A), Patient(P).","can_view_sorted(P, L) :- Patient(P), AccessLog(L), has_access_log(L, A, P, Date), has_role(A, Role), sorted_by_role_and_date(L, Role, Date). sorted_by_role_and_date(L, Role, Date) :- AccessLog(L), has_role(A, Role), has_access_log(L, A, P, Date), order_by(Role, Date desc).",has_access_log^{-1}
Both patients and LHCPs can view a list of their upcoming appointments .,"Patient(P), LHCP(L).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).
has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A).",has_appointment
