natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
The organisation may use email addresses to answer inquiries.,Organisation(O).,"EmailAddress(E), Inquiry(I).","has_inquiry(O, I) :- Organisation(O), Inquiry(I).","can_use_email(O, E, I) :- Organisation(O), EmailAddress(E), Inquiry(I), has_inquiry(O, I).",has_inquiry
He or she also can read the information about the distribution of options.,User(U).,DistributionInfo(DI).,"has_access_to(U, DI) :- User(U), DistributionInfo(DI).","can_read(U, DI) :- User(U), DistributionInfo(DI), has_access_to(U, DI).",has_access_to
The director can promote an employee to be a  manager.,Director(D).,Employee(E).,"is_director_of(D, E) :- Director(D), Employee(E).","can_promote(D, E) :- Director(D), Employee(E), is_director_of(D, E).",is_director_of
"An employee can appoint another employee to be his advocate, and have read access to his bonus information – for example, this might be useful if he needs help from a trade union.","Employee(E1), Employee(E2).",BonusInfo(B).,"has_advocate(E1, E2) :- Employee(E1), Employee(E2).","can_read(E2, B) :- Employee(E2), BonusInfo(B), has_advocate(E1, E2), owns_bonus_info(E1, B).",has_advocate^{-1}.owns_bonus_info
The PC chair appoints the PC members.,PC_Chair(C).,PC_Member(M).,"appoints(C, M) :- PC_Chair(C), PC_Member(M).","can_appoint(C, M) :- PC_Chair(C), PC_Member(M), appoints(C, M).",appoints
A PC member can resign his membership.,PC_Member(P).,Membership(M).,"has_membership(P, M) :- PC_Member(P), Membership(M).","can_resign(P, M) :- PC_Member(P), Membership(M), has_membership(P, M).",has_membership
The sole counter-example shows that a student with the freedom to assign external grades is also a ta but not a faculty member.,"Student(S), TA(T), Faculty(F).",Grade(G).,"is_ta(S) :- Student(S).
not_faculty(S) :- Student(S).
can_assign_external_grade(S, G) :- Student(S), Grade(G), is_ta(S), not_faculty(S).","assign_external_grade(S, G) :- Student(S), Grade(G), can_assign_external_grade(S, G).",can_assign_external_grade
"The manager has the broadest access to the information, including access to personal, financial, clinical and medical information about each resident.",Manager(M).,"Resident(R), Information(I).","has_access_to(M, I) :- Manager(M), Information(I), is_about(I, R).","can_access(M, R, I) :- Manager(M), Resident(R), Information(I), is_about(I, R), has_access_to(M, I).",has_access_to
Only the manager is allowed to delete the information about a resident but here also that right is restricted.,Manager(M).,"Resident(R), ResidentInfo(RI).","manages(M, R) :- Manager(M), Resident(R).","can_delete(M, RI) :- Manager(M), ResidentInfo(RI), manages(M, R), associated_with(RI, R).",manages.associated_with^{-1}
"For a special purpose, access to an older medical record can be sought and obtained from the manager.","User(U), Manager(M).",MedicalRecord(MR).,is_older(MR) :- MedicalRecord(MR).,"can_access(U, MR) :- User(U), MedicalRecord(MR), is_older(MR), Manager(M), has_permission(M, U, MR).",has_permission^{-1}.has_permission
"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",Person(P).,Information(I).,"has_information(P, I) :- Person(P), Information(I).","can_access(P, I) :- Person(P), Information(I), has_information(P, I), not jeopardises_third_party(I).",has_information
Only Doctors and Nurses can read patient records.,"Doctor(D), Nurse(N).",PatientRecord(PR).,"has_access(D, PR) :- Doctor(D), PatientRecord(PR). has_access(N, PR) :- Nurse(N), PatientRecord(PR).","can_read(S, PR) :- has_access(S, PR).",has_access
"A person, identified by his or her patient number, may read any record for which he or she is the designated patient.",Person(P).,Record(R).,"designated_patient(P, R) :- Person(P), Record(R).","can_read(P, R) :- Person(P), Record(R), designated_patient(P, R).",designated_patient
"A physician may write to any medical element for which he or she is the designated primary care physician, provided an email is sent to the patient.",Physician(P).,MedicalElement(ME).,"is_primary_care_physician(P, ME) :- Physician(P), MedicalElement(ME).","can_write(P, ME) :- Physician(P), MedicalElement(ME), is_primary_care_physician(P, ME), email_sent_to_patient(ME).",is_primary_care_physician
"Owners can access their account, move funds, and review transactions.",Owner(O).,"Account(A), Funds(F), Transaction(T).","owns(O, A) :- Owner(O), Account(A).","can_access(O, A) :- Owner(O), Account(A), owns(O, A). can_move_funds(O, F) :- Owner(O), Funds(F), owns(O, A). can_review_transactions(O, T) :- Owner(O), Transaction(T), owns(O, A).",owns
Payers can use the site's bill paying function .,Payer(P).,BillPayingFunction(B).,"has_access(P, B) :- Payer(P), BillPayingFunction(B).","can_use(P, B) :- Payer(P), BillPayingFunction(B), has_access(P, B).",has_access
Data Owners can transfer ownership of information to other users.,"DataOwner(DO), User(U).",Information(I).,"owns(DO, I) :- DataOwner(DO), Information(I).","can_transfer(DO, U, I) :- DataOwner(DO), User(U), Information(I), owns(DO, I).",owns
"Users who do not have access to information should not be able to determine its characteristics (file size, file name, directory path, etc.)",User(U).,Information(I).,"has_access(U, I) :- User(U), Information(I).","can_determine_characteristics(U, I) :- User(U), Information(I), has_access(U, I).",has_access
All users can read from a lower classification than the one they are granted (A secret user can read an unclassified document).,User(U).,Document(D).,"has_classification(U, UC) :- User(U), Classification(UC).
has_classification(D, DC) :- Document(D), Classification(DC).
lower_classification(DC, UC) :- Classification(DC), Classification(UC), DC < UC.","can_read(U, D) :- User(U), Document(D), has_classification(U, UC), has_classification(D, DC), lower_classification(DC, UC).",has_classification.lower_classification^{-1}.has_classification^{-1}
All users are given read or write access to objects only of the same classification (a secret user can only read or write to a secret document).,User(U).,Object(O).,"has_classification(U, C) :- User(U), Classification(C).
has_classification(O, C) :- Object(O), Classification(C).","can_read(U, O) :- User(U), Object(O), has_classification(U, C), has_classification(O, C).",has_classification.has_classification^{-1}
All users are given read or write access to objects only of the same classification (a secret user can only read or write to a secret document).,User(U).,Object(O).,"has_classification(U, C) :- User(U), Classification(C).
has_classification(O, C) :- Object(O), Classification(C).","can_write(U, O) :- User(U), Object(O), has_classification(U, C), has_classification(O, C).",has_classification.has_classification^{-1}
David can assign the manager role to Alice.,"Person(David), Person(Alice).",Role(manager).,"can_assign(David, Alice, manager) :- Person(David), Person(Alice), Role(manager).","assign_role(David, Alice, manager) :- can_assign(David, Alice, manager).",can_assign
Owners can read Name.,Owner(O).,Name(N).,"owns(O, N) :- Owner(O), Name(N).","can_read(O, N) :- Owner(O), Name(N), owns(O, N).",owns
"During the submission phase, an author may submit a paper.",Author(A).,Paper(P).,"is_author_of(A, P) :- Author(A), Paper(P).","can_submit(A, P) :- Author(A), Paper(P), is_author_of(A, P).",is_author_of
"During the review phase, reviewer may submit a review for paper if reviewer is assigned to review paper.",Reviewer(R).,Paper(P).,"assigned_to(R, P) :- Reviewer(R), Paper(P).","can_submit_review(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P).",assigned_to
"During the meeting phase, reviewer can read the scores for paper if reviewer has submitted a review for paper.",Reviewer(R).,Paper(P).,"submitted_review(R, P) :- Reviewer(R), Paper(P).","can_read_scores(R, P) :- Reviewer(R), Paper(P), submitted_review(R, P).",submitted_review
"In the current paper system, all the information stored about a resident is accessible to the resident by arrangement with the manager.","Resident(R), Manager(M).",Information(I).,"has_access(R, I) :- Resident(R), Information(I), Manager(M).","can_access(R, I) :- Resident(R), Information(I), has_access(R, I).",has_access
"For example, a user should not record and verify the same invoice.",User(U).,Invoice(I).,"recorded_by(U, I) :- User(U), Invoice(I). verified_by(U, I) :- User(U), Invoice(I).","cannot_perform_both(U, I) :- User(U), Invoice(I), recorded_by(U, I), verified_by(U, I).",recorded_by
"A reviewer of a paper can resign, unless he has already appointed a sub-reviewer for the paper.","Reviewer(R), SubReviewer(S).",Paper(P).,"assigned_to(R, P) :- Reviewer(R), Paper(P). appointed_subreviewer(R, P, S) :- Reviewer(R), Paper(P), SubReviewer(S).","can_resign(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P), not appointed_subreviewer(R, P, _).",assigned_to
