natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
"""The system requests that the Registrar specify the function he or she would like to perform (either Add a Student, Update a Student, or Delete a Student)""",Registrar(R).,Student(S).,"can_perform(R, Function) :- Registrar(R), Function in {add_student, update_student, delete_student}.","specify_function(R, Function) :- Registrar(R), can_perform(R, Function).",can_perform
They will also need to see which students signed up for their course offerings.,"Instructor(I), Student(S).",CourseOffering(CO).,"teaches(I, CO) :- Instructor(I), CourseOffering(CO).
signed_up(S, CO) :- Student(S), CourseOffering(CO).","can_view_students(I, CO) :- Instructor(I), CourseOffering(CO), teaches(I, CO).",teaches
They will also need to see which students signed up for their course offerings.,"Instructor(I), Student(S).",CourseOffering(CO).,"teaches(I, CO) :- Instructor(I), CourseOffering(CO).
signed_up(S, CO) :- Student(S), CourseOffering(CO).","can_view_signed_up(I, S, CO) :- Instructor(I), Student(S), CourseOffering(CO), teaches(I, CO), signed_up(S, CO).",teaches
The Student also selects any course offerings to delete from the existing schedule.,Student(S).,CourseOffering(CO).,"has_scheduled(S, CO) :- Student(S), CourseOffering(CO).","can_delete(S, CO) :- Student(S), CourseOffering(CO), has_scheduled(S, CO).",has_scheduled
"""If a course offering becomes full while a student is building a schedule including that offering, the student must be notified.""",Student(S).,CourseOffering(CO).,"building_schedule(S, CO) :- Student(S), CourseOffering(CO).","must_notify(S, CO) :- Student(S), CourseOffering(CO), building_schedule(S, CO), is_full(CO).",building_schedule
The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,Professor(P).,CourseOffering(C).,"wishes_to_teach(P, C) :- Professor(P), CourseOffering(C).","can_select(P, C) :- Professor(P), CourseOffering(C), wishes_to_teach(P, C). can_deselect(P, C) :- Professor(P), CourseOffering(C), wishes_to_teach(P, C).",wishes_to_teach
The professor is added to the system.,Professor(P).,System(S).,"added_to(P, S) :- Professor(P), System(S).","can_access(P, S) :- Professor(P), System(S), added_to(P, S).",added_to
This use case allows the Registrar to maintain student information in the registration system.,Registrar(R).,"Student(S), RegistrationSystem(RS).","has_access_to(R, RS) :- Registrar(R), RegistrationSystem(RS).","can_maintain(R, S, RS) :- Registrar(R), Student(S), RegistrationSystem(RS), has_access_to(R, RS).",has_access_to
The Student verifies the deletion.,Student(S).,Deletion(DEL).,"can_verify(S, DEL) :- Student(S), Deletion(DEL).","verify(S, DEL) :- Student(S), Deletion(DEL), can_verify(S, DEL).",can_verify
"""For each selected course offering on the schedule not already marked as “enrolled in”, the system verifies that the Student has the necessary prerequisites, that the course offering is open, and that there are no schedule conflicts.""",Student(S).,CourseOffering(CO).,"selected(S, CO) :- Student(S), CourseOffering(CO).
enrolled_in(S, CO) :- Student(S), CourseOffering(CO).
has_prerequisite(S, CO) :- Student(S), CourseOffering(CO).
open(CO) :- CourseOffering(CO).
conflict(S, CO) :- Student(S), CourseOffering(CO).","can_enroll(S, CO) :- Student(S), CourseOffering(CO), selected(S, CO), not enrolled_in(S, CO), has_prerequisite(S, CO), open(CO), not conflict(S, CO).",selected
