natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
The LHCP is able to view the comprehensive patient report.,LHCP(L).,PatientReport(PR).,"has_access(L, PR) :- LHCP(L), PatientReport(PR).","can_view(L, PR) :- LHCP(L), PatientReport(PR), has_access(L, PR).",has_access
"""The reports are viewed under the """"View My Records"""" tab.""",User(U).,"Report(R), Tab(T).","has_access_to(U, R) :- User(U), Report(R). is_in_tab(R, T) :- Report(R), Tab(T).","can_view(U, R, T) :- User(U), Report(R), Tab(T), has_access_to(U, R), is_in_tab(R, T).",has_access_to.is_in_tab
"""The appointments in the list shall be ordered by appointment date and time, the soonest upcoming first.""",User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).
appointment_datetime(A, DT) :- Appointment(A).","ordered_appointments(U, A1, A2) :- User(U), Appointment(A1), Appointment(A2), has_appointment(U, A1), has_appointment(U, A2), appointment_datetime(A1, DT1), appointment_datetime(A2, DT2), DT1 < DT2.",has_appointment
An LHCP views a list of his upcoming appointments.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
An administrator maintains the hospital listing.,Administrator(A).,HospitalListing(L).,"maintains(A, L) :- Administrator(A), HospitalListing(L).","can_maintain(A, L) :- Administrator(A), HospitalListing(L), maintains(A, L).",maintains
The HCP can add the prescription to the list of medications.,HCP(H).,"Prescription(PR), MedicationList(ML).","has_access_to(H, ML) :- HCP(H), MedicationList(ML).","can_add_prescription(H, PR, ML) :- HCP(H), Prescription(PR), MedicationList(ML), has_access_to(H, ML).",has_access_to
The HCP can edit the patient according to data format.,HCP(H).,"Patient(P), DataFormat(F).","has_access(H, P, F) :- HCP(H), Patient(P), DataFormat(F).","can_edit(H, P, F) :- HCP(H), Patient(P), DataFormat(F), has_access(H, P, F).",has_access
The LHCP obtains a printable report.,LHCP(L).,Report(R).,"can_access(L, R) :- LHCP(L), Report(R), printable(R).","obtain_report(L, R) :- LHCP(L), Report(R), can_access(L, R).",can_access
The HCP notes about an office visit.,HCP(H).,OfficeVisit(V).,"has_note(H, V) :- HCP(H), OfficeVisit(V).","can_access_note(H, V) :- HCP(H), OfficeVisit(V), has_note(H, V).",has_note
System presents a listing of all immunizations for which he has been administered in the last 12 months.,User(U).,Immunization(I).,"administered_to(U, I, Date) :- User(U), Immunization(I), Date(Date), Date >= current_date - 365.","can_view_listing(U, I) :- User(U), Immunization(I), administered_to(U, I, Date).",administered_to
The HCP can disallow viewing access to the laboratory results.,HCP(H).,LabResult(L).,"has_access(H, L) :- HCP(H), LabResult(L).","can_disallow_view(H, L) :- HCP(H), LabResult(L), has_access(H, L).",has_access
"""The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.""",Patient(P).,"Provider(PR), ZipCode(Z).","has_zip_code(P, Z) :- Patient(P), ZipCode(Z).
matches_zip_prefix(Z, PR) :- ZipCode(Z), Provider(PR).","can_access(P, PR) :- Patient(P), Provider(PR), has_zip_code(P, Z), matches_zip_prefix(Z, PR).",has_zip_code.matches_zip_prefix
The patient chooses My Diagnoses.,Patient(P).,Diagnosis(D).,"has_diagnosis(P, D) :- Patient(P), Diagnosis(D).","can_choose(P, D) :- Patient(P), Diagnosis(D), has_diagnosis(P, D).",has_diagnosis
"""A patient, patient representative, or LHCP can sort messages in his message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.""","Patient(P), PatientRepresentative(PR), LHCP(L).","Message(M), Outbox(O).","has_outbox(P, O) :- Patient(P), Outbox(O). has_outbox(PR, O) :- PatientRepresentative(PR), Outbox(O). has_outbox(L, O) :- LHCP(L), Outbox(O). contains_message(O, M) :- Outbox(O), Message(M). recipient_last_name(M, LN) :- Message(M). message_timestamp(M, TS) :- Message(M).","can_sort_by_last_name_asc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O). can_sort_by_last_name_desc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O). can_sort_by_timestamp_asc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O). can_sort_by_timestamp_desc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O).",has_outbox
"""When an LHCP views a list of his upcoming appointments, system presents an option to edit or remove the appointment.""",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A). can_edit_or_remove_appointment(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
The patient views his access log.,Patient(P).,AccessLog(L).,"owns_log(P, L) :- Patient(P), AccessLog(L).","can_view(P, L) :- Patient(P), AccessLog(L), owns_log(P, L).",owns_log
