xacml,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
"<Policy PolicyId=""RPSlist.3.0.1"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
<AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
<AttributeDesignator AttributeId=""isEq-subjUserId-resUserId"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.3.0.1.r.1"">
                    <Target/>
                </Rule>
            </Policy>","User(U), Resource(R).",Resource(R).,"has_role(U, ""pc-member"") :- User(U).
isEq_subjUserId_resUserId(U, R) :- User(U), Resource(R).","can_read(U, R) :- User(U), Resource(R), has_role(U, ""pc-member""), isEq_subjUserId_resUserId(U, R).",isEq_subjUserId_resUserId
"<Policy PolicyId=""RPSlist.3.0.3.2"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
    <AttributeDesignator AttributeId=""isEq-subjUserId-resUserId"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Deny"" RuleId=""RPSlist.3.0.3.2.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",User(U).,Resource(R).,"has_role(U, 'pc-member') :- User(U).
is_eq_subjUserId_resUserId(U, R) :- User(U), Resource(R).","can_access(U, R) :- User(U), Resource(R), has_role(U, 'pc-member'), is_eq_subjUserId_resUserId(U, R).",is_eq_subjUserId_resUserId
"<Policy PolicyId=""RPSlist.4.0.1"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
<AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
<AttributeDesignator AttributeId=""isEq-subjUserId-resUserId"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.4.0.1.r.1"">
                    <Target/>
                </Rule>
            </Policy>","User(U), Resource(R).",Resource(R).,"has_role(U, ""pc-member"") :- User(U).
is_same_user(U, R) :- User(U), Resource(R).","can_read(U, R) :- User(U), Resource(R), has_role(U, ""pc-member""), is_same_user(U, R).",is_same_user
"<Policy PolicyId=""RPSlist.4.0.3.2"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
    <AttributeDesignator AttributeId=""isEq-subjUserId-resUserId"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Deny"" RuleId=""RPSlist.4.0.3.2.r.1"">
                        <Target/>
                    </Rule>
                </Policy>",User(U).,Resource(R).,"has_role(U, ""pc-member"") :- User(U).
is_same_user(U, R) :- User(U), Resource(R).","deny_access(U, R) :- User(U), Resource(R), has_role(U, ""pc-member""), is_same_user(U, R).",is_same_user
"<Policy PolicyId=""RPSlist.6.0.3.2"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
    <AttributeDesignator AttributeId=""isEq-subjUserId-resUserId"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Deny"" RuleId=""RPSlist.6.0.3.2.r.1"">
                        <Target/>
                    </Rule>
                </Policy>","User(U), Resource(R).",,"has_role(U, 'pc-member') :- User(U).
is_same_user(U, R) :- User(U), Resource(R).","can_access(U, R) :- User(U), Resource(R), has_role(U, 'pc-member'), is_same_user(U, R).",is_same_user
"<Policy PolicyId=""RPSlist.7.0.0"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc-member</AttributeValue>
<AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
<AttributeDesignator AttributeId=""isEq-subjUserId-resUserId"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">create</AttributeValue>
<AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Permit"" RuleId=""RPSlist.7.0.0.r.1"">
                    <Target/>
                </Rule>
            </Policy>",User(U).,Resource(R).,"has_role(U, 'pc-member') :- User(U).
is_eq_subjUserId_resUserId(U, R) :- User(U), Resource(R).","can_create(U, R) :- User(U), Resource(R), has_role(U, 'pc-member'), is_eq_subjUserId_resUserId(U, R).",is_eq_subjUserId_resUserId
"<Policy PolicyId=""RPSlist.10.0.0.1"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                    <Target>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">pc_chair</AttributeValue>
    <AttributeDesignator AttributeId=""role"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
    <AttributeDesignator AttributeId=""isEq-subjUserId-resUserId"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                        <AnyOf>
                            <AllOf>
<Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
    <AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">read</AttributeValue>
    <AttributeDesignator AttributeId=""urn:oasis:names:tc:xacml:1.0:action:action-id"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
</Match>
                            </AllOf>
                        </AnyOf>
                    </Target>
                    <Rule Effect=""Permit"" RuleId=""RPSlist.10.0.0.1.r.1"">
                        <Target/>
                    </Rule>
                </Policy>","User(U), Resource(R).",Resource(R).,"has_role(U, ""pc_chair"") :- User(U).
is_same_user(U, R) :- User(U), Resource(R).","can_read(U, R) :- User(U), Resource(R), has_role(U, ""pc_chair""), is_same_user(U, R).",is_same_user
"<Policy PolicyId=""RPSlist.14.0.3"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
<AttributeDesignator AttributeId=""isConflicted"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Deny"" RuleId=""RPSlist.14.0.3.r.1"">
                    <Target/>
                </Rule>
            </Policy>",Subject(S).,Object(O).,"is_conflicted(S, O) :- Subject(S), Object(O).","deny(S, O) :- Subject(S), Object(O), is_conflicted(S, O).",is_conflicted
"<Policy PolicyId=""RPSlist.15.0.1"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
<AttributeDesignator AttributeId=""isConflicted"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Deny"" RuleId=""RPSlist.15.0.1.r.1"">
                    <Target/>
                </Rule>
            </Policy>",Subject(S).,Object(O).,"is_conflicted(S, O) :- Subject(S), Object(O).","deny(S, O) :- Subject(S), Object(O), is_conflicted(S, O).",is_conflicted
"<Policy PolicyId=""RPSlist.16.0.3"" RuleCombiningAlgId=""urn:oasis:names:tc:xacml:1.0:rule-combining-algorithm:first-applicable"" Version=""1.0"">
                <Target>
                    <AnyOf>
                        <AllOf>
                            <Match MatchId=""urn:oasis:names:tc:xacml:1.0:function:string-equal"">
<AttributeValue DataType=""http://www.w3.org/2001/XMLSchema#string"">true</AttributeValue>
<AttributeDesignator AttributeId=""isConflicted"" Category=""unknown"" DataType=""http://www.w3.org/2001/XMLSchema#string"" MustBePresent=""false""/>
                            </Match>
                        </AllOf>
                    </AnyOf>
                </Target>
                <Rule Effect=""Deny"" RuleId=""RPSlist.16.0.3.r.1"">
                    <Target/>
                </Rule>
            </Policy>",Subject(S).,Object(O).,"is_conflicted(S, O) :- Subject(S), Object(O).","deny(S, O) :- Subject(S), Object(O), is_conflicted(S, O).",is_conflicted
