natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,fong
"""The system retrieves and displays the Student’s current schedule (e.g., the schedule for the current semester).""","Student(S), System(Sys).",Schedule(SC).,"has_current_schedule(S, SC) :- Student(S), Schedule(SC).","can_retrieve_and_display(Sys, S, SC) :- System(Sys), Student(S), Schedule(SC), has_current_schedule(S, SC).",System
The system cancels the course offering for each schedule that contains it.,System(S).,"CourseOffering(CO), Schedule(SCH).","contains(SCH, CO) :- Schedule(SCH), CourseOffering(CO).","can_cancel(S, SCH, CO) :- System(S), Schedule(SCH), CourseOffering(CO), contains(SCH, CO).",System
"""The system requests that the Registrar specify the function he or she would like to perform (either Add a Student, Update a Student, or Delete a Student)""",Registrar(R).,Student(S).,"can_perform(R, Function) :- Registrar(R), Function in {add_student, update_student, delete_student}.","specify_function(R, Function) :- Registrar(R), can_perform(R, Function).",(Registrar ∧ <can_perform>(owner))
They will also need to see which students signed up for their course offerings.,"Instructor(I), Student(S).",CourseOffering(CO).,"teaches(I, CO) :- Instructor(I), CourseOffering(CO).
signed_up(S, CO) :- Student(S), CourseOffering(CO).","can_view_students(I, CO) :- Instructor(I), CourseOffering(CO), teaches(I, CO).
can_view_signed_up(I, S, CO) :- Instructor(I), Student(S), CourseOffering(CO), teaches(I, CO), signed_up(S, CO).",Instructor
"""If no alternates are available, then no substitution will be made.""",Agent(A).,"Item(I), AlternateItem(ALT).","has_alternate(I, ALT) :- Item(I), AlternateItem(ALT).","can_substitute(A, I, ALT) :- Agent(A), Item(I), AlternateItem(ALT), has_alternate(I, ALT).",Agent
The Student also selects any course offerings to delete from the existing schedule.,Student(S).,CourseOffering(CO).,"has_scheduled(S, CO) :- Student(S), CourseOffering(CO).","can_delete(S, CO) :- Student(S), CourseOffering(CO), has_scheduled(S, CO).",(Student ∧ <has_scheduled>((CourseOffering ∧ owner)))
"""If a course offering becomes full while a student is building a schedule including that offering, the student must be notified.""",Student(S).,CourseOffering(CO).,"building_schedule(S, CO) :- Student(S), CourseOffering(CO).","must_notify(S, CO) :- Student(S), CourseOffering(CO), building_schedule(S, CO), is_full(CO).",(Student ∧ <building_schedule>((CourseOffering ∧ is_full ∧ owner)))
Only Professors can enter grades for students.,Professor(P).,"Student(S), Grade(G).","teaches(P, S) :- Professor(P), Student(S).","can_enter_grade(P, S, G) :- Professor(P), Student(S), Grade(G), teaches(P, S).",(Professor ∧ <teaches>((Student ∧ owner)))
The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,Professor(P).,CourseOffering(C).,"wishes_to_teach(P, C) :- Professor(P), CourseOffering(C).","can_select(P, C) :- Professor(P), CourseOffering(C), wishes_to_teach(P, C). can_deselect(P, C) :- Professor(P), CourseOffering(C), wishes_to_teach(P, C).",Professor
The professor is added to the system.,Professor(P).,System(S).,"added_to(P, S) :- Professor(P), System(S).","can_access(P, S) :- Professor(P), System(S), added_to(P, S).",(Professor ∧ <added_to>((System ∧ owner)))
